Sample Name	Protocol REF	Parameter Value[FHB]	Unit	Term Source REF	Parameter Value[DTR]	Unit	Term Source REF	Parameter Value[SEP]	Unit	Term Source REF
sample_1252	Phenotyping	19.125	score	UO		score	UO	12.25	score	UO
sample_1253	Phenotyping	15.9375	score	UO		score	UO	12.25	score	UO
sample_1254	Phenotyping	14.875	score	UO		score	UO	9.0	score	UO
sample_1255	Phenotyping	20.625	score	UO		score	UO	3.0	score	UO
sample_1256	Phenotyping	30.1875	score	UO		score	UO	3.0	score	UO
sample_1257	Phenotyping	24.75	score	UO		score	UO	6.0	score	UO
sample_1258	Phenotyping	14.0625	score	UO		score	UO	4.75	score	UO
sample_1259	Phenotyping	8.25	score	UO		score	UO	4.75	score	UO
sample_126	Phenotyping	36.6666666666667	score	UO		score	UO		score	UO
sample_1260	Phenotyping	12.1875	score	UO		score	UO	7.25	score	UO
sample_1261	Phenotyping	4.8125	score	UO		score	UO	4.5	score	UO
sample_1262	Phenotyping	0.2975	score	UO		score	UO	4.5	score	UO
sample_1263	Phenotyping	7.35	score	UO		score	UO	5.0	score	UO
sample_1264	Phenotyping	19.0	score	UO		score	UO	3.0	score	UO
sample_1265	Phenotyping	20.0	score	UO		score	UO	3.0	score	UO
sample_1266	Phenotyping	31.5	score	UO		score	UO	1.75	score	UO
sample_1267	Phenotyping	30.0	score	UO		score	UO	5.75	score	UO
sample_1268	Phenotyping	28.875	score	UO		score	UO	5.75	score	UO
sample_1269	Phenotyping	30.0	score	UO		score	UO	8.0	score	UO
sample_127	Phenotyping	30.3333333333333	score	UO		score	UO		score	UO
sample_1270	Phenotyping	9.375	score	UO		score	UO	2.25	score	UO
sample_1271	Phenotyping	9.5625	score	UO		score	UO	2.25	score	UO
sample_1272	Phenotyping	11.375	score	UO		score	UO	3.25	score	UO
sample_1273	Phenotyping	14.875	score	UO		score	UO	1.25	score	UO
sample_1274	Phenotyping	2.925	score	UO		score	UO	1.25	score	UO
sample_1275	Phenotyping	11.25	score	UO		score	UO	2.5	score	UO
sample_1276	Phenotyping	11.0	score	UO		score	UO	9.0	score	UO
sample_1277	Phenotyping	1.0	score	UO		score	UO	9.0	score	UO
sample_1278	Phenotyping	3.75	score	UO		score	UO	4.5	score	UO
sample_1279	Phenotyping	7.875	score	UO		score	UO	15.75	score	UO
sample_128	Phenotyping	32.0	score	UO		score	UO		score	UO
sample_1280	Phenotyping	8.25	score	UO		score	UO	15.75	score	UO
sample_1281	Phenotyping	14.0	score	UO		score	UO	10.0	score	UO
sample_1282	Phenotyping	11.4	score	UO		score	UO	9.75	score	UO
sample_1283	Phenotyping	12.1875	score	UO		score	UO	9.75	score	UO
sample_1284	Phenotyping	15.75	score	UO		score	UO	7.5	score	UO
sample_1285	Phenotyping	8.25	score	UO		score	UO	2.25	score	UO
sample_1286	Phenotyping	5.0	score	UO		score	UO	2.25	score	UO
sample_1287	Phenotyping	6.3	score	UO		score	UO	3.0	score	UO
sample_1288	Phenotyping	9.75	score	UO		score	UO	3.0	score	UO
sample_1289	Phenotyping	6.175	score	UO		score	UO	3.0	score	UO
sample_129	Phenotyping	50.9166666666667	score	UO		score	UO		score	UO
sample_1290	Phenotyping	8.25	score	UO		score	UO	1.75	score	UO
sample_1291	Phenotyping	18.0	score	UO		score	UO	2.25	score	UO
sample_1292	Phenotyping	18.0625	score	UO		score	UO	2.25	score	UO
sample_1293	Phenotyping	13.0	score	UO		score	UO	2.0	score	UO
sample_1294	Phenotyping	4.725	score	UO		score	UO	2.5	score	UO
sample_1295	Phenotyping	2.75	score	UO		score	UO	2.5	score	UO
sample_1296	Phenotyping	12.1875	score	UO		score	UO	4.5	score	UO
sample_1297	Phenotyping	11.375	score	UO		score	UO	1.75	score	UO
sample_1298	Phenotyping	13.8125	score	UO		score	UO	1.75	score	UO
sample_1299	Phenotyping	9.0	score	UO		score	UO	1.0	score	UO
sample_13	Phenotyping	2.21666666666667	score	UO		score	UO		score	UO
sample_130	Phenotyping	14.0166666666667	score	UO		score	UO		score	UO
sample_1300	Phenotyping	7.8	score	UO		score	UO	4.0	score	UO
sample_1301	Phenotyping	4.5	score	UO		score	UO	4.0	score	UO
sample_1302	Phenotyping	7.5	score	UO		score	UO	2.5	score	UO
sample_1303	Phenotyping	0.35	score	UO		score	UO	1.25	score	UO
sample_1304	Phenotyping	3.75	score	UO		score	UO	1.25	score	UO
sample_1305	Phenotyping	3.0	score	UO		score	UO	2.25	score	UO
sample_1306	Phenotyping	13.0	score	UO		score	UO	7.25	score	UO
sample_1307	Phenotyping	23.375	score	UO		score	UO	7.25	score	UO
sample_1308	Phenotyping	14.0	score	UO		score	UO	11.75	score	UO
sample_1309	Phenotyping	7.525	score	UO		score	UO	2.25	score	UO
sample_131	Phenotyping	10.15	score	UO		score	UO		score	UO
sample_1310	Phenotyping	9.625	score	UO		score	UO	2.25	score	UO
sample_1311	Phenotyping	10.5	score	UO		score	UO	1.5	score	UO
sample_1312	Phenotyping	16.0	score	UO		score	UO	5.75	score	UO
sample_1313	Phenotyping	14.875	score	UO		score	UO	5.75	score	UO
sample_1314	Phenotyping	12.1875	score	UO		score	UO	5.25	score	UO
sample_1315	Phenotyping	4.8	score	UO		score	UO	1.25	score	UO
sample_1316	Phenotyping	8.325	score	UO		score	UO	1.25	score	UO
sample_1317	Phenotyping	15.5	score	UO		score	UO	1.5	score	UO
sample_1318	Phenotyping	21.375	score	UO		score	UO	6.5	score	UO
sample_1319	Phenotyping	14.875	score	UO		score	UO	6.5	score	UO
sample_132	Phenotyping	9.33333333333333	score	UO		score	UO		score	UO
sample_1320	Phenotyping	15.0	score	UO		score	UO	2.0	score	UO
sample_1321	Phenotyping	23.75	score	UO		score	UO	5.75	score	UO
sample_1322	Phenotyping	17.0	score	UO		score	UO	5.75	score	UO
sample_1323	Phenotyping	11.6875	score	UO		score	UO	4.5	score	UO
sample_1324	Phenotyping	18.0	score	UO		score	UO	5.75	score	UO
sample_1325	Phenotyping	28.875	score	UO		score	UO	5.75	score	UO
sample_1326	Phenotyping	33.0	score	UO		score	UO	7.25	score	UO
sample_1327	Phenotyping	18.0	score	UO		score	UO	9.75	score	UO
sample_1328	Phenotyping	16.625	score	UO		score	UO	9.75	score	UO
sample_1329	Phenotyping	23.625	score	UO		score	UO	5.75	score	UO
sample_133	Phenotyping	18.46	score	UO		score	UO		score	UO
sample_1330	Phenotyping	6.875	score	UO		score	UO	6.5	score	UO
sample_1331	Phenotyping	12.1875	score	UO		score	UO	6.5	score	UO
sample_1332	Phenotyping	6.75	score	UO		score	UO	4.75	score	UO
sample_1333	Phenotyping	32.8125	score	UO		score	UO	4.0	score	UO
sample_1334	Phenotyping	21.25	score	UO		score	UO	4.0	score	UO
sample_1335	Phenotyping	28.75	score	UO		score	UO	5.25	score	UO
sample_1336	Phenotyping	4.3125	score	UO		score	UO	2.0	score	UO
sample_1337	Phenotyping	13.125	score	UO		score	UO	2.0	score	UO
sample_1338	Phenotyping	4.3875	score	UO		score	UO	7.25	score	UO
sample_1339	Phenotyping	38.5	score	UO		score	UO	4.5	score	UO
